Day,Time (PST),Temp,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Conditions
1/5/2017,8:38 AM,   54.0 °F ,   48.9 °F ,83%,   30.04 in ,   2.0 mi ,SE,   6.9 mph ,Light Rain
1/5/2017,8:53 AM,   54.0 °F ,   50.0 °F ,86%,   30.04 in ,   1.8 mi ,ESE,   8.1 mph ,Overcast
1/5/2017,9:51 AM,   53.6 °F ,   51.8 °F ,94%,   30.06 in ,   1.2 mi ,SE,   8.1 mph ,Overcast
1/5/2017,9:53 AM,   54.0 °F ,   52.0 °F ,93%,   30.06 in ,   1.2 mi ,SE,   8.1 mph ,Overcast
1/5/2017,10:21 AM,   55.0 °F ,   53.1 °F ,93%,   30.06 in ,   1.2 mi ,SE,   6.9 mph ,Light Rain
1/5/2017,10:53 AM,   55.9 °F ,   54.0 °F ,93%,   30.05 in ,   1.0 mi ,SSE,   4.6 mph ,Light Rain
1/5/2017,11:53 AM,   57.0 °F ,   55.0 °F ,93%,   30.01 in ,   1.0 mi ,SSE,   10.4 mph ,Light Rain
1/5/2017,12:53 PM,   57.9 °F ,   55.9 °F ,93%,   29.98 in ,   1.2 mi ,South,   8.1 mph ,Light Rain
1/5/2017,1:53 PM,   59.0 °F ,   57.0 °F ,93%,   29.96 in ,   1.2 mi ,South,   6.9 mph ,Light Rain
1/5/2017,2:53 PM,   59.0 °F ,   57.0 °F ,93%,   29.96 in ,   1.0 mi ,SSW,   8.1 mph ,Light Rain
1/5/2017,3:53 PM,   57.9 °F ,   57.0 °F ,97%,   29.96 in ,   1.0 mi ,SSW,   9.2 mph ,Rain
1/5/2017,4:53 PM,   59.0 °F ,   57.0 °F ,93%,   29.96 in ,   0.8 mi ,SSW,   4.6 mph ,Light Rain
1/5/2017,5:25 PM,   59.0 °F ,   57.0 °F ,93%,   29.97 in ,   1.2 mi ,WSW,   5.8 mph ,Overcast
1/5/2017,5:50 PM,   59.0 °F ,   57.2 °F ,94%,   29.98 in ,   0.5 mi ,WSW,   5.8 mph ,Fog
1/5/2017,5:53 PM,   59.0 °F ,   57.9 °F ,96%,   29.98 in ,   0.2 mi ,West,   6.9 mph ,Fog
1/5/2017,6:27 PM,   59.0 °F ,   57.0 °F ,93%,   29.99 in ,   5.0 mi ,WNW,   6.9 mph ,Overcast
1/5/2017,6:53 PM,   57.9 °F ,   57.0 °F ,97%,   29.99 in ,   2.0 mi ,WNW,   6.9 mph ,Overcast
1/5/2017,7:53 PM,   57.9 °F ,   55.9 °F ,93%,   30.00 in ,   2.0 mi ,NNW,   4.6 mph ,Overcast
1/5/2017,8:21 PM,   57.9 °F ,   55.9 °F ,93%,   30.01 in ,   5.0 mi ,North,   4.6 mph ,Overcast
1/5/2017,8:29 PM,   57.0 °F ,   55.9 °F ,96%,   30.01 in ,   8.0 mi ,NNW,   5.8 mph ,Overcast
1/5/2017,8:53 PM,   57.0 °F ,   55.0 °F ,93%,   30.01 in ,   10.0 mi ,WNW,   4.6 mph ,Overcast
1/5/2017,9:15 PM,   57.0 °F ,   55.0 °F ,93%,   30.01 in ,   10.0 mi ,WNW,   3.5 mph ,Overcast
1/5/2017,9:53 PM,   57.0 °F ,   55.0 °F ,93%,   30.01 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
1/5/2017,10:20 PM,   57.0 °F ,   55.0 °F ,93%,   30.01 in ,   10.0 mi ,Calm,Calm,Overcast
1/5/2017,10:53 PM,   57.0 °F ,   54.0 °F ,89%,   30.01 in ,   10.0 mi ,Calm,Calm,Overcast
1/5/2017,11:53 PM,   55.9 °F ,   54.0 °F ,93%,   30.00 in ,   10.0 mi ,ESE,   3.5 mph ,Overcast
1/6/2017,12:26 AM,   55.9 °F ,   54.0 °F ,93%,   30.00 in ,   5.0 mi ,South,   3.5 mph ,Overcast
1/6/2017,12:46 AM,   55.9 °F ,   55.0 °F ,97%,   30.00 in ,   4.0 mi ,Calm,Calm,Overcast
1/6/2017,12:53 AM,   55.9 °F ,   54.0 °F ,93%,   29.99 in ,   6.0 mi ,Calm,Calm,Overcast
1/6/2017,12:59 AM,   55.9 °F ,   54.0 °F ,93%,   30.00 in ,   10.0 mi ,Calm,Calm,Overcast
1/6/2017,1:42 AM,   55.0 °F ,   53.1 °F ,93%,   30.01 in ,   10.0 mi ,SW,   3.5 mph ,Mostly Cloudy
1/6/2017,1:53 AM,   55.0 °F ,   52.0 °F ,89%,   30.01 in ,   10.0 mi ,WSW,   6.9 mph ,Scattered Clouds
1/6/2017,2:09 AM,   55.0 °F ,   52.0 °F ,89%,   30.01 in ,   10.0 mi ,West,   3.5 mph ,Mostly Cloudy
1/6/2017,2:17 AM,   55.0 °F ,   52.0 °F ,89%,   30.02 in ,   10.0 mi ,West,   4.6 mph ,Mostly Cloudy
1/6/2017,2:53 AM,   55.0 °F ,   52.0 °F ,89%,   30.01 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
1/6/2017,3:04 AM,   54.0 °F ,   51.1 °F ,90%,   30.02 in ,   10.0 mi ,Calm,Calm,Scattered Clouds
1/6/2017,3:53 AM,   51.1 °F ,   48.9 °F ,92%,   30.02 in ,   10.0 mi ,Calm,Calm,Clear
1/6/2017,4:10 AM,   52.0 °F ,   50.0 °F ,93%,   30.02 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
1/6/2017,4:53 AM,   51.1 °F ,   48.9 °F ,92%,   30.01 in ,   10.0 mi ,Calm,Calm,Scattered Clouds
1/6/2017,5:53 AM,   50.0 °F ,   48.0 °F ,93%,   30.03 in ,   7.0 mi ,Calm,Calm,Clear
1/6/2017,6:20 AM,   50.0 °F ,   46.9 °F ,89%,   30.04 in ,   1.8 mi ,Calm,Calm,Clear
1/6/2017,6:24 AM,   50.0 °F ,   48.0 °F ,93%,   30.04 in ,   0.8 mi ,Calm,Calm,Mist
1/6/2017,6:34 AM,   48.9 °F ,   48.0 °F ,97%,   30.04 in ,   1.2 mi ,Calm,Calm,Partly Cloudy
1/6/2017,6:36 AM,   48.9 °F ,   48.0 °F ,97%,   30.04 in ,   3.0 mi ,Calm,Calm,Partly Cloudy
1/6/2017,6:53 AM,   48.9 °F ,   48.0 °F ,97%,   30.05 in ,   6.0 mi ,Calm,Calm,Mostly Cloudy
1/6/2017,7:53 AM,   53.1 °F ,   51.1 °F ,93%,   30.06 in ,   9.0 mi ,East,   4.6 mph ,Overcast
1/6/2017,8:20 AM,   54.0 °F ,   51.1 °F ,90%,   30.06 in ,   9.0 mi ,Variable,   5.8 mph ,Scattered Clouds
1/6/2017,8:53 AM,   55.0 °F ,   52.0 °F ,89%,   30.07 in ,   10.0 mi ,Variable,   5.8 mph ,Scattered Clouds
1/6/2017,9:53 AM,   57.9 °F ,   51.1 °F ,78%,   30.08 in ,   10.0 mi ,Calm,Calm,Partly Cloudy
1/6/2017,10:53 AM,   61.0 °F ,   50.0 °F ,67%,   30.08 in ,   10.0 mi ,SSW,   5.8 mph ,Partly Cloudy
1/6/2017,11:53 AM,   61.0 °F ,   51.1 °F ,70%,   30.06 in ,   10.0 mi ,SW,   8.1 mph ,Partly Cloudy
1/6/2017,12:53 PM,   62.1 °F ,   51.1 °F ,67%,   30.04 in ,   10.0 mi ,Variable,   3.5 mph ,Clear
1/6/2017,1:53 PM,   62.1 °F ,   50.0 °F ,65%,   30.03 in ,   10.0 mi ,Variable,   3.5 mph ,Clear
1/6/2017,2:53 PM,   62.1 °F ,   48.9 °F ,62%,   30.03 in ,   10.0 mi ,WSW,   6.9 mph ,Clear
1/6/2017,3:53 PM,   61.0 °F ,   45.0 °F ,56%,   30.04 in ,   10.0 mi ,West,   4.6 mph ,Clear
1/6/2017,4:53 PM,   57.9 °F ,   46.0 °F ,65%,   30.05 in ,   10.0 mi ,WSW,   4.6 mph ,Clear
1/6/2017,5:53 PM,   55.9 °F ,   48.0 °F ,75%,   30.06 in ,   10.0 mi ,West,   3.5 mph ,Clear
1/6/2017,6:53 PM,   55.0 °F ,   48.9 °F ,80%,   30.08 in ,   10.0 mi ,Calm,Calm,Clear
1/6/2017,7:53 PM,   52.0 °F ,   46.9 °F ,83%,   30.11 in ,   10.0 mi ,NE,   3.5 mph ,Clear
1/6/2017,8:53 PM,   52.0 °F ,   46.9 °F ,83%,   30.11 in ,   10.0 mi ,NE,   4.6 mph ,Clear
1/6/2017,9:53 PM,   52.0 °F ,   46.9 °F ,83%,   30.09 in ,   10.0 mi ,ENE,   4.6 mph ,Clear
1/6/2017,10:53 PM,   52.0 °F ,   46.9 °F ,83%,   30.12 in ,   10.0 mi ,Calm,Calm,Clear
1/6/2017,11:53 PM,   48.9 °F ,   46.0 °F ,90%,   30.14 in ,   10.0 mi ,Calm,Calm,Clear
1/7/2017,12:53 AM,   50.0 °F ,   46.0 °F ,86%,   30.13 in ,   10.0 mi ,NE,   3.5 mph ,Clear
1/7/2017,1:53 AM,   50.0 °F ,   43.0 °F ,77%,   30.13 in ,   10.0 mi ,Calm,Calm,Clear
1/7/2017,2:53 AM,   50.0 °F ,   42.1 °F ,74%,   30.14 in ,   10.0 mi ,North,   4.6 mph ,Clear
1/7/2017,3:53 AM,   50.0 °F ,   42.1 °F ,74%,   30.13 in ,   10.0 mi ,East,   3.5 mph ,Clear
1/7/2017,4:53 AM,   48.9 °F ,   42.1 °F ,77%,   30.12 in ,   10.0 mi ,Calm,Calm,Clear
1/7/2017,5:53 AM,   50.0 °F ,   42.1 °F ,74%,   30.15 in ,   10.0 mi ,Calm,Calm,Partly Cloudy
1/7/2017,6:53 AM,   50.0 °F ,   41.0 °F ,71%,   30.16 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
1/7/2017,7:53 AM,   54.0 °F ,   41.0 °F ,62%,   30.18 in ,   10.0 mi ,Calm,Calm,Scattered Clouds
1/7/2017,8:53 AM,   57.0 °F ,   42.1 °F ,57%,   30.20 in ,   10.0 mi ,Calm,Calm,Clear
1/7/2017,9:53 AM,   63.0 °F ,   39.0 °F ,41%,   30.21 in ,   10.0 mi ,Calm,Calm,Clear
1/7/2017,10:53 AM,   66.0 °F ,   39.9 °F ,38%,   30.19 in ,   10.0 mi ,ESE,   4.6 mph ,Clear
1/7/2017,11:53 AM,   70.0 °F ,   37.0 °F ,30%,   30.15 in ,   10.0 mi ,SSE,   4.6 mph ,Unknown
1/7/2017,12:53 PM,   72.0 °F ,   36.0 °F ,27%,   30.12 in ,   10.0 mi ,South,   5.8 mph ,Clear
1/7/2017,1:53 PM,   73.0 °F ,   39.0 °F ,29%,   30.12 in ,   10.0 mi ,West,   4.6 mph ,Clear
1/7/2017,2:53 PM,   69.1 °F ,   44.1 °F ,40%,   30.14 in ,   10.0 mi ,West,   5.8 mph ,Clear
1/7/2017,3:53 PM,   66.0 °F ,   46.0 °F ,48%,   30.15 in ,   10.0 mi ,NW,   6.9 mph ,Clear
1/7/2017,4:53 PM,   63.0 °F ,   46.0 °F ,54%,   30.15 in ,   10.0 mi ,North,   4.6 mph ,Clear
1/7/2017,5:53 PM,   61.0 °F ,   46.0 °F ,58%,   30.15 in ,   10.0 mi ,Calm,Calm,Clear
1/7/2017,6:53 PM,   59.0 °F ,   48.0 °F ,67%,   30.17 in ,   10.0 mi ,Calm,Calm,Clear
1/7/2017,7:53 PM,   59.0 °F ,   48.9 °F ,69%,   30.18 in ,   10.0 mi ,Calm,Calm,Clear
1/7/2017,8:53 PM,   59.0 °F ,   46.9 °F ,64%,   30.17 in ,   10.0 mi ,North,   4.6 mph ,Clear
1/7/2017,9:53 PM,   57.9 °F ,   48.0 °F ,70%,   30.20 in ,   10.0 mi ,Calm,Calm,Clear
1/7/2017,10:53 PM,   55.9 °F ,   46.9 °F ,72%,   30.19 in ,   10.0 mi ,Calm,Calm,Clear
1/7/2017,11:53 PM,   55.9 °F ,   46.9 °F ,72%,   30.19 in ,   10.0 mi ,Calm,Calm,Clear
1/8/2017,12:53 AM,   54.0 °F ,   46.9 °F ,77%,   30.17 in ,   10.0 mi ,ENE,   3.5 mph ,Clear
1/8/2017,1:53 AM,   54.0 °F ,   46.9 °F ,77%,   30.17 in ,   10.0 mi ,Calm,Calm,Clear
1/8/2017,2:53 AM,   55.0 °F ,   46.9 °F ,74%,   30.17 in ,   10.0 mi ,Calm,Calm,Clear
1/8/2017,3:53 AM,   54.0 °F ,   46.0 °F ,75%,   30.16 in ,   10.0 mi ,Calm,Calm,Clear
1/8/2017,4:53 AM,   55.0 °F ,   46.0 °F ,72%,   30.16 in ,   10.0 mi ,Calm,Calm,Clear
1/8/2017,5:53 AM,   55.0 °F ,   45.0 °F ,69%,   30.17 in ,   10.0 mi ,Calm,Calm,Clear
1/8/2017,6:53 AM,   53.1 °F ,   45.0 °F ,74%,   30.17 in ,   10.0 mi ,Calm,Calm,Clear
1/8/2017,7:53 AM,   59.0 °F ,   46.9 °F ,64%,   30.17 in ,   10.0 mi ,Calm,Calm,Clear
1/8/2017,8:53 AM,   64.0 °F ,   46.0 °F ,52%,   30.19 in ,   10.0 mi ,SE,   4.6 mph ,Partly Cloudy
1/8/2017,9:53 AM,   70.0 °F ,   44.1 °F ,39%,   30.20 in ,   10.0 mi ,Calm,Calm,Clear
1/8/2017,10:53 AM,   72.0 °F ,   45.0 °F ,38%,   30.19 in ,   10.0 mi ,Variable,   3.5 mph ,Clear
1/8/2017,11:53 AM,   75.0 °F ,   46.9 °F ,37%,   30.16 in ,   10.0 mi ,South,   6.9 mph ,Clear
1/8/2017,12:53 PM,   75.9 °F ,   43.0 °F ,31%,   30.13 in ,   10.0 mi ,South,   6.9 mph ,Clear
1/8/2017,1:53 PM,   77.0 °F ,   44.1 °F ,31%,   30.13 in ,   10.0 mi ,WSW,   5.8 mph ,Clear
1/8/2017,2:53 PM,   75.0 °F ,   45.0 °F ,34%,   30.13 in ,   10.0 mi ,WSW,   8.1 mph ,Clear
1/8/2017,3:53 PM,   70.0 °F ,   46.0 °F ,42%,   30.14 in ,   10.0 mi ,WSW,   6.9 mph ,Clear
1/8/2017,4:53 PM,   66.0 °F ,   43.0 °F ,43%,   30.13 in ,   10.0 mi ,SSW,   3.5 mph ,Clear
1/8/2017,5:53 PM,   64.0 °F ,   45.0 °F ,50%,   30.13 in ,   10.0 mi ,Calm,Calm,Clear
1/8/2017,6:53 PM,   63.0 °F ,   46.0 °F ,54%,   30.16 in ,   10.0 mi ,WSW,   3.5 mph ,Clear
1/8/2017,7:53 PM,   61.0 °F ,   48.0 °F ,62%,   30.16 in ,   10.0 mi ,Calm,Calm,Clear
1/8/2017,8:53 PM,   57.9 °F ,   48.9 °F ,72%,   30.14 in ,   10.0 mi ,East,   6.9 mph ,Clear
1/8/2017,9:53 PM,   62.1 °F ,   46.0 °F ,56%,   30.12 in ,   10.0 mi ,SSE,   3.5 mph ,Clear
1/8/2017,10:53 PM,   60.1 °F ,   48.0 °F ,64%,   30.16 in ,   10.0 mi ,West,   3.5 mph ,Clear
1/8/2017,11:53 PM,   59.0 °F ,   48.0 °F ,67%,   30.18 in ,   10.0 mi ,Calm,Calm,Clear
1/9/2017,12:53 AM,   57.9 °F ,   48.0 °F ,70%,   30.16 in ,   10.0 mi ,NNE,   5.8 mph ,Clear
1/9/2017,1:53 AM,   57.0 °F ,   50.0 °F ,77%,   30.16 in ,   10.0 mi ,NNE,   4.6 mph ,Clear
1/9/2017,2:53 AM,   59.0 °F ,   48.0 °F ,67%,   30.17 in ,   10.0 mi ,Calm,Calm,Clear
