Day,Time (PST),Temp,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Conditions
1/12/2018,4:07 AM,   55.0 °F ,   51.1 °F ,86%,   30.17 in ,   2.5 mi ,Calm,Calm,Scattered Clouds
1/12/2018,4:15 AM,   55.0 °F ,   50.0 °F ,83%,   30.16 in ,   3.0 mi ,Calm,Calm,Haze
1/12/2018,4:53 AM,   53.1 °F ,   48.9 °F ,86%,   30.16 in ,   7.0 mi ,NNE,   3.5 mph ,Clear
1/12/2018,5:53 AM,   53.1 °F ,   48.9 °F ,86%,   30.16 in ,   10.0 mi ,Calm,Calm,Clear
1/12/2018,6:53 AM,   54.0 °F ,   50.0 °F ,86%,   30.18 in ,   10.0 mi ,Calm,Calm,Clear
1/12/2018,7:53 AM,   57.9 °F ,   51.1 °F ,78%,   30.18 in ,   9.0 mi ,Calm,Calm,Clear
1/12/2018,8:53 AM,   64.0 °F ,   52.0 °F ,65%,   30.19 in ,   10.0 mi ,Calm,Calm,Clear
1/12/2018,9:53 AM,   68.0 °F ,   54.0 °F ,61%,   30.19 in ,   9.0 mi ,WNW,   3.5 mph ,Clear
1/12/2018,10:53 AM,   73.0 °F ,   52.0 °F ,48%,   30.17 in ,   10.0 mi ,WNW,   3.5 mph ,Clear
1/12/2018,11:53 AM,   75.0 °F ,   51.1 °F ,43%,   30.12 in ,   10.0 mi ,WNW,   4.6 mph ,Clear
1/12/2018,12:53 PM,   75.9 °F ,   48.9 °F ,38%,   30.09 in ,   10.0 mi ,NNW,   6.9 mph ,Clear
1/12/2018,1:53 PM,   73.9 °F ,   48.0 °F ,40%,   30.08 in ,   10.0 mi ,NNW,   10.4 mph ,Clear
1/12/2018,2:53 PM,   72.0 °F ,   51.1 °F ,48%,   30.07 in ,   8.0 mi ,NW,   13.8 mph ,Clear
1/12/2018,3:53 PM,   69.1 °F ,   53.1 °F ,57%,   30.08 in ,   5.0 mi ,NW,   4.6 mph ,Haze
1/12/2018,4:53 PM,   66.0 °F ,   55.0 °F ,68%,   30.07 in ,   3.0 mi ,NNW,   5.8 mph ,Haze
1/12/2018,5:16 PM,   63.0 °F ,   55.0 °F ,75%,   30.08 in ,   2.5 mi ,NNW,   8.1 mph ,Haze
1/12/2018,5:53 PM,   61.0 °F ,   55.0 °F ,81%,   30.08 in ,   2.5 mi ,North,   4.6 mph ,Haze
1/12/2018,6:53 PM,   60.1 °F ,   55.0 °F ,83%,   30.09 in ,   2.0 mi ,NNW,   4.6 mph ,Haze
1/12/2018,7:53 PM,   59.0 °F ,   54.0 °F ,83%,   30.10 in ,   2.0 mi ,Calm,Calm,Haze
1/12/2018,8:53 PM,   57.9 °F ,   53.1 °F ,84%,   30.10 in ,   3.0 mi ,Calm,Calm,Haze
1/12/2018,9:53 PM,   57.9 °F ,   52.0 °F ,81%,   30.11 in ,   3.0 mi ,Calm,Calm,Haze
1/12/2018,10:53 PM,   57.0 °F ,   51.1 °F ,81%,   30.10 in ,   6.0 mi ,Calm,Calm,Haze
1/12/2018,11:53 PM,   57.0 °F ,   51.1 °F ,81%,   30.09 in ,   9.0 mi ,Calm,Calm,Clear
1/13/2018,12:53 AM,   57.0 °F ,   50.0 °F ,77%,   30.09 in ,   10.0 mi ,NE,   3.5 mph ,Clear
1/13/2018,1:53 AM,   57.0 °F ,   48.9 °F ,74%,   30.09 in ,   10.0 mi ,Calm,Calm,Clear
1/13/2018,2:53 AM,   57.0 °F ,   46.9 °F ,69%,   30.09 in ,   10.0 mi ,NNE,   3.5 mph ,Clear
1/13/2018,3:53 AM,   57.0 °F ,   46.0 °F ,67%,   30.08 in ,   10.0 mi ,Calm,Calm,Clear
1/13/2018,4:53 AM,   57.0 °F ,   44.1 °F ,62%,   30.08 in ,   10.0 mi ,Calm,Calm,Clear
1/13/2018,5:53 AM,   55.0 °F ,   44.1 °F ,67%,   30.09 in ,   10.0 mi ,ESE,   3.5 mph ,Clear
1/13/2018,6:53 AM,   57.0 °F ,   41.0 °F ,55%,   30.10 in ,   10.0 mi ,Calm,Calm,Clear
1/13/2018,7:53 AM,   62.1 °F ,   43.0 °F ,50%,   30.11 in ,   10.0 mi ,Calm,Calm,Clear
1/13/2018,8:53 AM,   69.1 °F ,   46.9 °F ,45%,   30.13 in ,   10.0 mi ,Calm,Calm,Clear
1/13/2018,9:53 AM,   79.0 °F ,   35.1 °F ,20%,   30.13 in ,   10.0 mi ,NNW,   4.6 mph ,Clear
1/13/2018,10:53 AM,   82.9 °F ,   28.9 °F ,14%,   30.11 in ,   10.0 mi ,Variable,   3.5 mph ,Clear
1/13/2018,11:53 AM,   84.9 °F ,   30.0 °F ,14%,   30.08 in ,   10.0 mi ,WNW,   4.6 mph ,Clear
1/13/2018,12:53 PM,   84.0 °F ,   37.0 °F ,19%,   30.05 in ,   10.0 mi ,WSW,   9.2 mph ,Clear
1/13/2018,1:53 PM,   84.9 °F ,   34.0 °F ,16%,   30.04 in ,   10.0 mi ,WNW,   8.1 mph ,Clear
1/13/2018,2:53 PM,   84.0 °F ,   37.0 °F ,19%,   30.04 in ,   10.0 mi ,West,   5.8 mph ,Clear
1/13/2018,3:53 PM,   84.0 °F ,   42.1 °F ,23%,   30.04 in ,   10.0 mi ,WNW,   4.6 mph ,Clear
1/13/2018,4:53 PM,   77.0 °F ,   43.0 °F ,30%,   30.05 in ,   10.0 mi ,NW,   6.9 mph ,Clear
1/13/2018,5:53 PM,   72.0 °F ,   42.1 °F ,34%,   30.07 in ,   10.0 mi ,NNE,   3.5 mph ,Clear
1/13/2018,6:53 PM,   68.0 °F ,   44.1 °F ,42%,   30.08 in ,   10.0 mi ,East,   6.9 mph ,Clear
1/13/2018,7:53 PM,   66.9 °F ,   37.0 °F ,33%,   30.08 in ,   10.0 mi ,East,   5.8 mph ,Clear
1/13/2018,8:53 PM,   69.1 °F ,   33.1 °F ,26%,   30.09 in ,   10.0 mi ,Calm,Calm,Clear
1/13/2018,9:53 PM,   63.0 °F ,   37.9 °F ,40%,   30.10 in ,   10.0 mi ,NE,   4.6 mph ,Clear
1/13/2018,10:53 PM,   63.0 °F ,   37.0 °F ,38%,   30.10 in ,   10.0 mi ,NE,   4.6 mph ,Clear
1/13/2018,11:53 PM,   64.9 °F ,   35.1 °F ,33%,   30.09 in ,   10.0 mi ,Calm,Calm,Clear
1/14/2018,12:53 AM,   62.1 °F ,   36.0 °F ,38%,   30.08 in ,   10.0 mi ,Calm,Calm,Clear
1/14/2018,1:53 AM,   60.1 °F ,   39.9 °F ,47%,   30.09 in ,   10.0 mi ,Calm,Calm,Clear
1/14/2018,2:53 AM,   60.1 °F ,   39.9 °F ,47%,   30.10 in ,   10.0 mi ,Calm,Calm,Clear
1/14/2018,3:53 AM,   60.1 °F ,   36.0 °F ,41%,   30.09 in ,   10.0 mi ,NE,   3.5 mph ,Clear
1/14/2018,4:53 AM,   61.0 °F ,   36.0 °F ,39%,   30.08 in ,   10.0 mi ,Calm,Calm,Clear
1/14/2018,5:53 AM,   57.0 °F ,   42.1 °F ,57%,   30.11 in ,   10.0 mi ,NNE,   3.5 mph ,Clear
1/14/2018,6:53 AM,   57.9 °F ,   39.0 °F ,49%,   30.12 in ,   10.0 mi ,NNE,   3.5 mph ,Clear
1/14/2018,7:53 AM,   61.0 °F ,   39.0 °F ,44%,   30.12 in ,   10.0 mi ,Calm,Calm,Clear
1/14/2018,8:53 AM,   69.1 °F ,   37.0 °F ,31%,   30.14 in ,   10.0 mi ,Calm,Calm,Clear
1/14/2018,9:53 AM,   77.0 °F ,   30.0 °F ,18%,   30.14 in ,   10.0 mi ,Variable,   3.5 mph ,Clear
1/14/2018,10:53 AM,   80.1 °F ,   28.9 °F ,15%,   30.13 in ,   10.0 mi ,Calm,Calm,Clear
1/14/2018,11:53 AM,   81.0 °F ,   33.1 °F ,18%,   30.11 in ,   10.0 mi ,WSW,   6.9 mph ,Clear
1/14/2018,12:53 PM,   82.0 °F ,   27.0 °F ,13%,   30.08 in ,   10.0 mi ,WSW,   5.8 mph ,Clear
1/14/2018,1:53 PM,   82.0 °F ,   27.0 °F ,13%,   30.07 in ,   10.0 mi ,SW,   6.9 mph ,Clear
1/14/2018,2:53 PM,   80.1 °F ,   32.0 °F ,17%,   30.07 in ,   10.0 mi ,WSW,   5.8 mph ,Clear
1/14/2018,3:53 PM,   75.0 °F ,   34.0 °F ,22%,   30.08 in ,   10.0 mi ,WSW,   5.8 mph ,Clear
1/14/2018,4:53 PM,   71.1 °F ,   37.9 °F ,30%,   30.09 in ,   10.0 mi ,Calm,Calm,Clear
1/14/2018,5:53 PM,   68.0 °F ,   39.0 °F ,35%,   30.13 in ,   10.0 mi ,SW,   4.6 mph ,Clear
1/14/2018,6:53 PM,   63.0 °F ,   42.1 °F ,46%,   30.12 in ,   10.0 mi ,East,   6.9 mph ,Clear
1/14/2018,7:53 PM,   63.0 °F ,   43.0 °F ,48%,   30.09 in ,   10.0 mi ,ESE,   4.6 mph ,Clear
1/14/2018,8:53 PM,   62.1 °F ,   42.1 °F ,48%,   30.09 in ,   10.0 mi ,ESE,   3.5 mph ,Clear
1/14/2018,9:53 PM,   62.1 °F ,   42.1 °F ,48%,   30.10 in ,   10.0 mi ,Calm,Calm,Clear
1/14/2018,10:53 PM,   60.1 °F ,   42.1 °F ,51%,   30.13 in ,   10.0 mi ,WNW,   6.9 mph ,Clear
1/14/2018,11:53 PM,   59.0 °F ,   41.0 °F ,51%,   30.12 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,12:53 AM,   57.0 °F ,   41.0 °F ,55%,   30.10 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,1:53 AM,   57.0 °F ,   39.9 °F ,53%,   30.10 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,2:53 AM,   55.0 °F ,   42.1 °F ,62%,   30.09 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,3:53 AM,   55.0 °F ,   39.9 °F ,57%,   30.08 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,4:53 AM,   54.0 °F ,   39.9 °F ,59%,   30.08 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,5:53 AM,   53.1 °F ,   39.0 °F ,59%,   30.08 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,6:53 AM,   53.1 °F ,   39.0 °F ,59%,   30.09 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,7:53 AM,   57.0 °F ,   43.0 °F ,59%,   30.11 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,8:53 AM,   64.9 °F ,   41.0 °F ,42%,   30.12 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,9:53 AM,   72.0 °F ,   37.0 °F ,28%,   30.14 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,10:53 AM,   75.0 °F ,   36.0 °F ,24%,   30.12 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,11:53 AM,   75.9 °F ,   41.0 °F ,29%,   30.09 in ,   10.0 mi ,WSW,   6.9 mph ,Clear
1/15/2018,12:53 PM,   75.0 °F ,   44.1 °F ,33%,   30.07 in ,   10.0 mi ,West,   5.8 mph ,Clear
1/15/2018,1:53 PM,   73.9 °F ,   46.9 °F ,38%,   30.06 in ,   10.0 mi ,WSW,   6.9 mph ,Clear
1/15/2018,2:53 PM,   70.0 °F ,   51.1 °F ,51%,   30.06 in ,   10.0 mi ,WSW,   8.1 mph ,Clear
1/15/2018,3:53 PM,   66.0 °F ,   50.0 °F ,56%,   30.07 in ,   10.0 mi ,NW,   3.5 mph ,Clear
1/15/2018,4:53 PM,   63.0 °F ,   54.0 °F ,72%,   30.10 in ,   9.0 mi ,NW,   9.2 mph ,Clear
1/15/2018,5:53 PM,   63.0 °F ,   53.1 °F ,70%,   30.10 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,6:53 PM,   62.1 °F ,   53.1 °F ,72%,   30.09 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,7:53 PM,   62.1 °F ,   51.1 °F ,67%,   30.07 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,8:53 PM,   62.1 °F ,   48.9 °F ,62%,   30.07 in ,   10.0 mi ,Calm,Calm,Clear
1/15/2018,9:53 PM,   63.0 °F ,   48.9 °F ,60%,   30.10 in ,   10.0 mi ,West,   3.5 mph ,Clear
1/15/2018,10:53 PM,   61.0 °F ,   48.0 °F ,62%,   30.11 in ,   10.0 mi ,West,   4.6 mph ,Clear
1/15/2018,11:53 PM,   60.1 °F ,   54.0 °F ,80%,   30.12 in ,   6.0 mi ,NNW,   6.9 mph ,Haze
1/16/2018,12:01 AM,   61.0 °F ,   55.9 °F ,83%,   30.13 in ,   5.0 mi ,NNW,   9.2 mph ,Haze
1/16/2018,12:20 AM,   59.0 °F ,   54.0 °F ,83%,   30.12 in ,   6.0 mi ,North,   6.9 mph ,Haze
1/16/2018,12:30 AM,   60.1 °F ,   54.0 °F ,80%,   30.12 in ,   5.0 mi ,North,   6.9 mph ,Haze
1/16/2018,12:53 AM,   60.1 °F ,   55.0 °F ,83%,   30.12 in ,   4.0 mi ,North,   5.8 mph ,Haze
1/16/2018,1:53 AM,   57.9 °F ,   54.0 °F ,87%,   30.13 in ,   5.0 mi ,North,   5.8 mph ,Clear
1/16/2018,2:53 AM,   57.0 °F ,   52.0 °F ,83%,   30.11 in ,   5.0 mi ,Calm,Calm,Haze
1/16/2018,3:53 AM,   55.9 °F ,   46.9 °F ,72%,   30.11 in ,   10.0 mi ,WSW,   3.5 mph ,Clear
1/16/2018,4:53 AM,   54.0 °F ,   48.0 °F ,80%,   30.09 in ,   9.0 mi ,Calm,Calm,Clear
1/16/2018,5:53 AM,   57.0 °F ,   48.9 °F ,74%,   30.11 in ,   9.0 mi ,NW,   3.5 mph ,Clear
1/16/2018,6:53 AM,   55.9 °F ,   46.9 °F ,72%,   30.12 in ,   10.0 mi ,North,   4.6 mph ,Clear
1/16/2018,7:53 AM,   59.0 °F ,   48.0 °F ,67%,   30.14 in ,   10.0 mi ,Calm,Calm,Clear
1/16/2018,8:53 AM,   62.1 °F ,   46.9 °F ,58%,   30.15 in ,   10.0 mi ,Calm,Calm,Clear
1/16/2018,9:53 AM,   64.9 °F ,   45.0 °F ,48%,   30.14 in ,   10.0 mi ,Calm,Calm,Clear
1/16/2018,10:53 AM,   69.1 °F ,   46.0 °F ,44%,   30.14 in ,   10.0 mi ,West,   8.1 mph ,Clear
1/16/2018,11:53 AM,   71.1 °F ,   51.1 °F ,49%,   30.12 in ,   10.0 mi ,NW,   5.8 mph ,Clear
1/16/2018,12:53 PM,   70.0 °F ,   52.0 °F ,53%,   30.12 in ,   10.0 mi ,WNW,   10.4 mph ,Clear
1/16/2018,1:53 PM,   71.1 °F ,   52.0 °F ,51%,   30.10 in ,   10.0 mi ,WNW,   6.9 mph ,Clear
1/16/2018,2:53 PM,   72.0 °F ,   46.9 °F ,41%,   30.10 in ,   10.0 mi ,WNW,   6.9 mph ,Clear
1/16/2018,3:53 PM,   72.0 °F ,   46.0 °F ,40%,   30.09 in ,   10.0 mi ,WNW,   4.6 mph ,Clear
1/16/2018,4:53 PM,   71.1 °F ,   46.9 °F ,42%,   30.09 in ,   10.0 mi ,NW,   4.6 mph ,Clear
1/16/2018,5:53 PM,   66.9 °F ,   46.9 °F ,49%,   30.10 in ,   10.0 mi ,West,   4.6 mph ,Clear
1/16/2018,6:53 PM,   63.0 °F ,   51.1 °F ,65%,   30.12 in ,   7.0 mi ,NW,   8.1 mph ,Clear
1/16/2018,7:53 PM,   62.1 °F ,   55.9 °F ,80%,   30.13 in ,   3.0 mi ,NNW,   8.1 mph ,Haze
1/16/2018,8:12 PM,   64.0 °F ,   55.9 °F ,75%,   30.14 in ,   4.0 mi ,NNW,   6.9 mph ,Haze
1/16/2018,8:53 PM,   62.1 °F ,   55.9 °F ,80%,   30.13 in ,   4.0 mi ,Calm,Calm,Haze
1/16/2018,9:03 PM,   62.1 °F ,   55.9 °F ,80%,   30.14 in ,   3.0 mi ,NNW,   3.5 mph ,Haze
1/16/2018,9:19 PM,   62.1 °F ,   55.9 °F ,80%,   30.15 in ,   3.0 mi ,NW,   5.8 mph ,Haze
1/16/2018,9:53 PM,   61.0 °F ,   55.9 °F ,83%,   30.14 in ,   5.0 mi ,North,   4.6 mph ,Haze
1/16/2018,10:53 PM,   60.1 °F ,   55.0 °F ,83%,   30.13 in ,   3.0 mi ,NNE,   5.8 mph ,Haze
1/16/2018,11:07 PM,   59.0 °F ,   55.0 °F ,87%,   30.14 in ,   2.5 mi ,NE,   5.8 mph ,Clear
1/16/2018,11:24 PM,   59.0 °F ,   54.0 °F ,83%,   30.13 in ,   1.8 mi ,Calm,Calm,Haze
1/16/2018,11:33 PM,   59.0 °F ,   54.0 °F ,83%,   30.13 in ,   2.0 mi ,North,   3.5 mph ,Haze
1/16/2018,11:53 PM,   60.1 °F ,   54.0 °F ,80%,   30.12 in ,   2.5 mi ,Calm,Calm,Haze
1/17/2018,12:19 AM,   57.9 °F ,   52.0 °F ,81%,   30.12 in ,   4.0 mi ,NNE,   3.5 mph ,Haze
1/17/2018,12:53 AM,   57.9 °F ,   52.0 °F ,81%,   30.12 in ,   4.0 mi ,WNW,   3.5 mph ,Haze
1/17/2018,1:53 AM,   57.0 °F ,   50.0 °F ,77%,   30.12 in ,   5.0 mi ,Calm,Calm,Haze
1/17/2018,2:53 AM,   55.9 °F ,   50.0 °F ,80%,   30.11 in ,   7.0 mi ,Calm,Calm,Clear
1/17/2018,3:53 AM,   57.0 °F ,   48.9 °F ,74%,   30.10 in ,   9.0 mi ,Calm,Calm,Clear
1/17/2018,4:53 AM,   55.0 °F ,   48.0 °F ,77%,   30.11 in ,   9.0 mi ,Calm,Calm,Clear
1/17/2018,5:53 AM,   55.0 °F ,   46.0 °F ,72%,   30.12 in ,   10.0 mi ,Calm,Calm,Clear
1/17/2018,6:53 AM,   55.9 °F ,   46.9 °F ,72%,   30.13 in ,   10.0 mi ,Calm,Calm,Clear
1/17/2018,7:53 AM,   60.1 °F ,   48.9 °F ,67%,   30.15 in ,   9.0 mi ,Calm,Calm,Clear
1/17/2018,8:53 AM,   66.9 °F ,   48.0 °F ,51%,   30.17 in ,   10.0 mi ,West,   3.5 mph ,Clear
1/17/2018,9:53 AM,   70.0 °F ,   46.0 °F ,42%,   30.17 in ,   10.0 mi ,Calm,Calm,Clear
1/17/2018,10:53 AM,   75.0 °F ,   45.0 °F ,34%,   30.15 in ,   10.0 mi ,Calm,Calm,Clear
1/17/2018,11:53 AM,   78.1 °F ,   46.0 °F ,32%,   30.12 in ,   10.0 mi ,Calm,Calm,Clear
1/17/2018,12:53 PM,   80.1 °F ,   45.0 °F ,29%,   30.10 in ,   10.0 mi ,West,   5.8 mph ,Clear
1/17/2018,1:53 PM,   77.0 °F ,   48.9 °F ,37%,   30.09 in ,   10.0 mi ,NW,   8.1 mph ,Clear
1/17/2018,2:53 PM,   73.9 °F ,   51.1 °F ,45%,   30.09 in ,   9.0 mi ,NW,   10.4 mph ,Clear
1/17/2018,3:53 PM,   71.1 °F ,   50.0 °F ,47%,   30.10 in ,   5.0 mi ,NNW,   12.7 mph ,Haze
1/17/2018,4:53 PM,   69.1 °F ,   53.1 °F ,57%,   30.10 in ,   5.0 mi ,NNW,   9.2 mph ,Haze
1/17/2018,5:53 PM,   66.9 °F ,   53.1 °F ,61%,   30.10 in ,   6.0 mi ,North,   5.8 mph ,Haze
1/17/2018,6:53 PM,   66.0 °F ,   53.1 °F ,63%,   30.11 in ,   6.0 mi ,North,   4.6 mph ,Haze
1/17/2018,7:53 PM,   62.1 °F ,   53.1 °F ,72%,   30.10 in ,   6.0 mi ,SE,   3.5 mph ,Haze
1/17/2018,8:53 PM,   63.0 °F ,   53.1 °F ,70%,   30.10 in ,   6.0 mi ,Calm,Calm,Haze
1/17/2018,9:53 PM,   62.1 °F ,   52.0 °F ,70%,   30.10 in ,   6.0 mi ,Calm,Calm,Haze
1/17/2018,10:53 PM,   61.0 °F ,   51.1 °F ,70%,   30.09 in ,   7.0 mi ,North,   3.5 mph ,Clear
1/17/2018,11:53 PM,   61.0 °F ,   51.1 °F ,70%,   30.09 in ,   6.0 mi ,NW,   3.5 mph ,Haze
1/18/2018,12:53 AM,   60.1 °F ,   52.0 °F ,75%,   30.08 in ,   4.0 mi ,North,   3.5 mph ,Haze
1/18/2018,1:53 AM,   59.0 °F ,   48.9 °F ,69%,   30.08 in ,   8.0 mi ,Calm,Calm,Clear
1/18/2018,2:53 AM,   57.9 °F ,   48.0 °F ,70%,   30.07 in ,   9.0 mi ,Calm,Calm,Clear
1/18/2018,3:53 AM,   57.0 °F ,   46.9 °F ,69%,   30.06 in ,   10.0 mi ,Calm,Calm,Clear
1/18/2018,4:53 AM,   55.9 °F ,   45.0 °F ,67%,   30.07 in ,   10.0 mi ,Calm,Calm,Clear
1/18/2018,5:53 AM,   55.0 °F ,   45.0 °F ,69%,   30.08 in ,   10.0 mi ,Calm,Calm,Clear
1/18/2018,6:53 AM,   55.9 °F ,   42.1 °F ,60%,   30.09 in ,   10.0 mi ,Calm,Calm,Clear
1/18/2018,7:53 AM,   60.1 °F ,   46.9 °F ,62%,   30.10 in ,   10.0 mi ,East,   4.6 mph ,Clear
1/18/2018,8:53 AM,   64.9 °F ,   42.1 °F ,43%,   30.14 in ,   10.0 mi ,Calm,Calm,Clear
1/18/2018,9:53 AM,   68.0 °F ,   44.1 °F ,42%,   30.14 in ,   10.0 mi ,SSE,   4.6 mph ,Clear
1/18/2018,10:53 AM,   72.0 °F ,   48.9 °F ,44%,   30.10 in ,   9.0 mi ,SE,   4.6 mph ,Clear
1/18/2018,11:53 AM,   78.1 °F ,   44.1 °F ,30%,   30.06 in ,   10.0 mi ,SSE,   3.5 mph ,Clear
1/18/2018,12:53 PM,   79.0 °F ,   51.1 °F ,38%,   30.03 in ,   10.0 mi ,SW,   6.9 mph ,Clear
1/18/2018,1:53 PM,   79.0 °F ,   46.0 °F ,31%,   30.01 in ,   10.0 mi ,SW,   6.9 mph ,Clear
1/18/2018,2:29 PM,   68.0 °F ,   57.0 °F ,68%,   30.04 in ,   4.0 mi ,West,   15.0 mph ,Haze
1/18/2018,2:50 PM,   66.2 °F ,   55.4 °F ,68%,   30.05 in ,   4.0 mi ,WSW,   12.7 mph ,Haze
1/18/2018,2:53 PM,   66.0 °F ,   55.9 °F ,70%,   30.04 in ,   4.0 mi ,West,   10.4 mph ,Haze
1/18/2018,3:53 PM,   64.9 °F ,   55.9 °F ,73%,   30.06 in ,   6.0 mi ,WNW,   8.1 mph ,Haze
